microchip,sex,arks,current.encl.,origin,control,treatment,date,extra.bait,removed,bait,eaten,time
9.56E+14,female,B60005,F11,QLD F1,KV,PO,10/5/16,PO(\/),look,control,1,1
9.56E+14,female,B60005,F11,QLD F1,KV,PO,10/5/16,PO(\/),look,swap,0,1
9.56E+14,female,B60005,F11,QLD F1,KV,PO,10/5/16,PO(\/),look,treatment,0,1
9.56E+14,female,B60005,F11,QLD F1,KV,PO,17/5/16,PV*,smell,control,1,3
9.56E+14,female,B60005,F11,QLD F1,KV,PO,10/5/16,PV*,smell,swap,0,2
9.56E+14,female,B60005,F11,QLD F1,KV,PO,17/5/16,PV*,smell,swap,0,3
9.56E+14,female,B60005,F11,QLD F1,KV,PO,10/5/16,PV*,smell,treatment,0,2
9.56E+14,female,B60005,F11,QLD F1,KV,PO,17/5/16,PV*,smell,treatment,0,3
9.56E+14,female,B60005,F11,QLD F1,KV,PO,10/5/16,PV*,smell,control,1,2
9.56E+14,male,B60007,G13,QLD F1,PO,KV,8/5/16,KO(\/),smell,control,1,1
9.56E+14,male,B60007,G13,QLD F1,PO,KV,8/5/16,KO(\/),smell,swap,0,1
9.56E+14,male,B60007,G13,QLD F1,PO,KV,8/5/16,KO(\/),smell,treatment,0,1
9.56E+14,male,B60007,G13,QLD F1,PO,KV,10/5/16,PV(\/),taste,control,1,2
9.56E+14,male,B60007,G13,QLD F1,PO,KV,10/5/16,PV(\/),taste,swap,1,2
9.56E+14,male,B60007,G13,QLD F1,PO,KV,10/5/16,PV(\/),taste,treatment,0,2
9.56E+14,male,B60007,G13,QLD F1,PO,KV,12/5/16,KV*,look,control,1,3
9.56E+14,male,B60007,G13,QLD F1,PO,KV,12/5/16,KV*,look,swap,1,3
9.56E+14,male,B60007,G13,QLD F1,PO,KV,12/5/16,KV*,look,treatment,0,3
9.56E+14,male,B60009,G1,QLD F1,KV,PO,8/5/16,KO(\/),smell,control,0,1
9.56E+14,male,B60009,G1,QLD F1,KV,PO,10/5/16,PV(\/),look,control,0,2
9.56E+14,male,B60009,G1,QLD F1,KV,PO,10/5/16,PV(\/),look,swap,1,2
9.56E+14,male,B60009,G1,QLD F1,KV,PO,10/5/16,PV(\/),look,treatment,1,2
9.56E+14,male,B60009,G1,QLD F1,KV,PO,8/5/16,KO(\/),smell,treatment,1,1
9.56E+14,male,B60009,G1,QLD F1,KV,PO,12/5/16,KV*,taste,treatment,1,3
9.56E+14,male,B60009,G1,QLD F1,KV,PO,8/5/16,KO(\/),smell,swap,1,1
9.56E+14,male,B60009,G1,QLD F1,KV,PO,12/5/16,KV*,taste,swap,1,3
9.56E+14,male,B60009,G1,QLD F1,KV,PO,12/5/16,KV*,taste,control,1,3
9.56E+14,male,B60013,G18,QLD F1,PO,KV,12/5/16,KV*,look,treatment,0,3
9.56E+14,male,B60013,G18,QLD F1,PO,KV,12/5/16,KV*,look,swap,0,3
9.56E+14,male,B60013,G18,QLD F1,PO,KV,8/5/16,KO(\/),smell,swap,1,1
9.56E+14,male,B60013,G18,QLD F1,PO,KV,12/5/16,KV*,look,control,1,3
9.56E+14,male,B60013,G18,QLD F1,PO,KV,8/5/16,KO(\/),smell,control,1,1
9.56E+14,male,B60013,G18,QLD F1,PO,KV,10/5/16,PV(\/),taste,control,1,2
9.56E+14,male,B60013,G18,QLD F1,PO,KV,10/5/16,PV(\/),taste,swap,1,2
9.56E+14,male,B60013,G18,QLD F1,PO,KV,10/5/16,PV(\/),taste,treatment,0,2
9.56E+14,male,B60013,G18,QLD F1,PO,KV,8/5/16,KO(\/),smell,treatment,0,1
9.56E+14,female,B60016,G17,QLD F1,PO,KV,10/5/16,PV(\/),taste,control,1,2
9.56E+14,female,B60016,G17,QLD F1,PO,KV,10/5/16,PV(\/),taste,swap,1,2
9.56E+14,female,B60016,G17,QLD F1,PO,KV,10/5/16,PV(\/),taste,treatment,0,2
9.56E+14,female,B60016,G17,QLD F1,PO,KV,12/5/16,KV*,look,swap,0,3
